POINT,NORTH,EAST,ELEV,DESC
198,1981366.348,569608.6195,60.7639,tp
199,1981366.534,569611.4327,60.8807,tp
200,1981369.52,569610.2244,61.3212,tp
201,1981371.328,569610.1933,61.4616,tp
202,1981371.016,569607.463,61.066,tp
203,1981370.452,569604.8059,61.1709,tp
204,1981370.126,569601.5657,61.3938,tp
205,1981369.516,569599.0948,61.4058,tp
206,1981368.479,569593.7135,61.2181,tp
207,1981368.228,569589.5066,60.5302,tp
208,1981370.987,569589.1916,60.9769,tp
209,1981370.694,569587.2429,60.2641,tp
210,1981372.325,569591.3249,61.4559,tp
211,1981373.284,569593.7262,61.8838,tp
212,1981373.427,569596.652,62.2359,tp
213,1981375.146,569600.3909,61.9417,tp
214,1981375.771,569602.8278,61.7028,tp
215,1981376.264,569604.6615,61.799,tp
216,1981377.009,569606.6109,61.661,tp
217,1981377.345,569608.5837,61.7676,tp
218,1981379.25,569608.3175,61.824,tp
219,1981380.8,569607.9749,61.9197,tp
220,1981380.813,569605.1858,61.9852,tp
221,1981380.329,569602.7515,62.0749,tp
222,1981379.944,569599.8635,62.0866,tp
223,1981379.875,569598.5256,62.3435,tp
224,1981378.509,569594.0034,62.6357,tp
225,1981377.791,569590.7112,62.2945,tp
226,1981376.661,569587.9852,61.4574,tp
227,1981375.938,569585.7471,60.8194,tp
228,1981374.927,569582.3382,60.0179,tp
229,1981373.949,569580.0937,59.3345,tp
230,1981373.443,569577.3995,58.4192,tp
231,1981373.341,569574.0343,57.5058,tp
232,1981372.242,569572.7223,57.1649,tp
233,1981378.276,569572.9324,57.864,tp
234,1981378.864,569571.4484,57.0392,tp
